Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
8852023664248,koh-kae Coconut 230g,សណ្តែកដីរសជាតិដូង 230g,Peanuts Coconut,2,0,1.75,0, No Tax, exclusive,,Can=1_1.75|Carton=24_42,,,,,,,,,,,,no_image.png,standard
8852023664224,koh-kae Coconut 110g,សណ្តែកដីរសជាតិដូង 110g,Peanuts Coconut,2,0,0.86,0, No Tax, exclusive,,Can=1_0.86|Carton=48_41,,,,,,,,,,,,no_image.png,standard
8852023664507,koh-kae 20B Coconut 75g,សណ្តែកដីរសជាតិដូង 75g,Peanuts Coconut,1,0,0.64,0, No Tax, exclusive,,Pack=1_0.64|Carton=36_23,,,,,,,,,,,,no_image.png,standard
8852023664361,koh-kae 10B Coconut 35g,សណ្តែកដីរសជាតិដូង 35g,Peanuts Coconut,1,0,0.25,0, No Tax, exclusive,,Pack=1_0.25|Carton=72_18,,,,,,,,,,,,no_image.png,standard
8852023664200,koh-kae 5B Coconut 17g,សណ្តែកដីរសជាតិដូង 17g,Peanuts Coconut,1,0,0.125,0, No Tax, exclusive,,Pack=1_0.125|Carton=144_18,,,,,,,,,,,,no_image.png,standard
8852023007007,koh-kae Coated Coconut 180g,សណ្តែកដីរសជាតិដូង 180g,Peanuts Coconut,1,0,1.21,0, No Tax, exclusive,,Pack=1_1.21|Carton=24_29,,,,,,,,,,,,no_image.png,standard
8852023665399,koh-kae Chicken 230g,សណ្តែកដីរសជាតិសាច់មាន់ 230g,Peanuts Chicken,2,0,1.72,0, No Tax, exclusive,,Can=1_1.72|Carton=24_42,,,,,,,,,,,,no_image.png,standard
8852023665887,koh-kae Chicken 105g,សណ្តែកដីរសជាតិសាច់មាន់ 105g,Peanuts Chicken,2,0,0.86,0, No Tax, exclusive,,Can=1_0.86|Carton=48_41,,,,,,,,,,,,no_image.png,standard
8852023665382,koh-kae 20B Chicken 75g,សណ្តែកដីរសជាតិសាច់មាន់ 75g,Peanuts Chicken,1,0,0.64,0, No Tax, exclusive,,Pack=1_0.64|Carton=36_23,,,,,,,,,,,,no_image.png,standard
8852023665283,koh-kae 10B Chicken 35g,សណ្តែកដីរសជាតិសាច់មាន់ 35g,Peanuts Chicken,1,0,0.25,0, No Tax, exclusive,,Pack=1_0.25|Carton=72_18,,,,,,,,,,,,no_image.png,standard
8852023665276,koh-kae 5B Chicken 17g,សណ្តែកដីរសជាតិសាច់មាន់ 17g,Peanuts Chicken,1,0,0.125,0, No Tax, exclusive,,Pack=1_0.125|Carton=144_18,,,,,,,,,,,,no_image.png,standard
8852023006925,koh-kae Coated Chicken 180g,សណ្តែកដីរសជាតិសាច់មាន់ 180g,Peanuts Chicken,1,0,1.21,0, No Tax, exclusive,,Pack=1_1.21|Carton=24_29,,,,,,,,,,,,no_image.png,standard
8852023665481,koh-kae Shrimp 230g,សណ្តែកដីរសជាតិបង្គា 230g,Peanuts Shrimp,2,0,1.72,0, No Tax, exclusive,,Can=1_1.72|Carton=24_42,,,,,,,,,,,,no_image.png,standard
8852023665870,koh-kae Shrimp 105g,សណ្តែកដីរសជាតិបង្គា 105g,Peanuts Shrimp,2,0,0.86,0, No Tax, exclusive,,Can=1_0.86|Carton=48_41,,,,,,,,,,,,no_image.png,standard
8852023664194,koh-kae 20B Shrimp 75g,សណ្តែកដីរសជាតិបង្គា 75g,Peanuts Shrimp,1,0,0.64,0, No Tax, exclusive,,Pack=1_0.64|Carton=36_23,,,,,,,,,,,,no_image.png,standard
8852023665467,koh-kae 10B Shrimp 35g,សណ្តែកដីរសជាតិបង្គា 35g,Peanuts Shrimp,1,0,0.25,0, No Tax, exclusive,,Pack=1_0.25|Carton=72_18,,,,,,,,,,,,no_image.png,standard
8852023665238,koh-kae 5B Shrimp 17g,សណ្តែកដីរសជាតិបង្គា 17g,Peanuts Shrimp,1,0,0.125,0, No Tax, exclusive,,Pack=1_0.125|Carton=144_18,,,,,,,,,,,,no_image.png,standard
8852023006932,koh-kae Coated Shrimp 180g,សណ្តែកដីរសជាតិបង្គា 180g,Peanuts Shrimp,1,0,1.21,0, No Tax, exclusive,,Pack=1_1.21|Carton=24_29,,,,,,,,,,,,no_image.png,standard
8852023665511,koh-kae BBQ 230g,សណ្តែកដីរសជាតិសាច់អាំង 230g,Peanuts BBQ,2,0,1.75,0, No Tax, exclusive,,Can=1_1.75|Carton=24_42,,,,,,,,,,,,no_image.png,standard
8852023665948,koh-kae BBQ 105g,សណ្តែកដីរសជាតិសាច់អាំង 105g,Peanuts BBQ,2,0,0.86,0, No Tax, exclusive,,Can=1_0.86|Carton=48_41,,,,,,,,,,,,no_image.png,standard
8852023004556,koh-kae 20B BBQ 75g,សណ្តែកដីរសជាតិសាច់អាំង 75g,Peanuts BBQ,1,0,0.64,0, No Tax, exclusive,,Pack=1_0.64|Carton=36_23,,,,,,,,,,,,no_image.png,standard
8852023665504,koh-kae 10B BBQ 35g,សណ្តែកដីរសជាតិសាច់អាំង 35g,Peanuts BBQ,1,0,0.25,0, No Tax, exclusive,,Pack=1_0.25|Carton=72_18,,,,,,,,,,,,no_image.png,standard
8852023665498,koh-kae 5B BBQ 17g,សណ្តែកដីរសជាតិសាច់អាំង 17g,Peanuts BBQ,1,0,0.125,0, No Tax, exclusive,,Pack=1_0.125|Carton=144_18,,,,,,,,,,,,no_image.png,standard
8852023006918,koh-kae Coated BBQ 180g,សណ្តែកដីរសជាតិសាច់អាំង 180g,Peanuts BBQ,1,0,1.21,0, No Tax, exclusive,,Pack=1_1.21|Carton=24_29,,,,,,,,,,,,no_image.png,standard
8852023664255,koh-kae Coffee 230g,សណ្តែកដីរសជាតិកាហ្វេ 230g,Peanuts Coffee,2,0,1.72,0, No Tax, exclusive,,Can=1_1.72|Carton=24_42,,,,,,,,,,,,no_image.png,standard
8852023664231,koh-kae Coffee 110g,សណ្តែកដីរសជាតិកាហ្វេ 110g,Peanuts Coffee,2,0,0.86,0, No Tax, exclusive,,Can=1_0.86|Carton=48_41,,,,,,,,,,,,no_image.png,standard
8852023664514,koh-kae 20B Coffee 75g,សណ្តែកដីរសជាតិកាហ្វេ 75g,Peanuts Coffee,1,0,0.64,0, No Tax, exclusive,,Pack=1_0.64|Carton=36_23,,,,,,,,,,,,no_image.png,standard
8852023664378,koh-kae 10B Coffee 35g,សណ្តែកដីរសជាតិកាហ្វេ 35g,Peanuts Coffee,1,0,0.25,0, No Tax, exclusive,,Pack=1_0.25|Carton=72_18,,,,,,,,,,,,no_image.png,standard
8852023664217,koh-kae 5B Coffee 17g,សណ្តែកដីរសជាតិកាហ្វេ 17g,Peanuts Coffee,1,0,0.125,0, No Tax, exclusive,,Pack=1_0.125|Carton=144_18,,,,,,,,,,,,no_image.png,standard
8852023006901,koh-kae Coated Coffee 180g,សណ្តែកដីរសជាតិកាហ្វេ 180g,Peanuts Coffee,1,0,1.21,0, No Tax, exclusive,,Pack=1_1.21|Carton=24_29,,,,,,,,,,,,no_image.png,standard
8852023666549,koh-kae Tom Yum 230g,សណ្តែកដីរសជាតិតុងយុំាង 230g,Peanuts Tom Yum,2,0,1.75,0, No Tax, exclusive,,Can=1_1.75|Carton=24_42,,,,,,,,,,,,no_image.png,standard
8852023004440,koh-kae Tom Yum 105g,សណ្តែកដីរសជាតិតុងយុំាង 105g,Peanuts Tom Yum,2,0,0.86,0, No Tax, exclusive,,Can=1_0.86|Carton=48_41,,,,,,,,,,,,no_image.png,standard
8852023006956,koh-kae Coated TomYum 180g,សណ្តែកដីរសជាតិតុងយុំាង 180g,Peanuts Tom Yum,1,0,1.21,0, No Tax, exclusive,,Pack=1_1.21|Carton=24_29,,,,,,,,,,,,no_image.png,standard
8852023006468,koh-kae Curry 230g,សណ្តែកដីរសជាតិការី 230g,Peanuts Curry,2,0,1.75,0, No Tax, exclusive,,Can=1_1.75|Carton=24_42,,,,,,,,,,,,no_image.png,standard
8852023006864,koh-kae Chilli 230g,សណ្តែកដីរសជាតិ​​ ម្ទេស 230g,Peanuts Chilli,2,0,1.75,0, No Tax, exclusive,,Can=1_1.75|Carton=24_42,,,,,,,,,,,,no_image.png,standard
8852023664101,koh-kae Wasabi 230g,សណ្តែកដីរសជាតិ​​ Wasabi 230g,Peanuts Wasabi,2,0,1.75,0, No Tax, exclusive,,Can=1_1.75|Carton=24_42,,,,,,,,,,,,no_image.png,standard
8852023665993,koh-kae Peanuts 140g,សណ្តែកដីរសជាតិ​​ អំបិល 140g,Salted Peanuts ,2,0,1.33,0, No Tax, exclusive,,Can=1_1.33|Carton=24_32,,,,,,,,,,,,no_image.png,standard
8852023665962,k.k Peanuts Honey 140g,សណ្តែកដីរសជាតិ​​ ទឹកឃ្មុំ 140g,Peanuts Honey,2,0,1.33,0, No Tax, exclusive,,Can=1_1.33|Carton=24_32,,,,,,,,,,,,no_image.png,standard
8852023003917,koh-kae Peanuts 160g,សណ្តែកដីរសជាតិ​​ អំបិល 160g,Salted Peanuts ,1,0,1.17,0, No Tax, exclusive,,Pack=1_1.17|Carton=24_28,,,,,,,,,,,,no_image.png,standard
8852023003672,k.k Green peas Salted 180g,សណ្តែកខៀវដោះគោ 180g,Greenpeas,2,0,1.72,0, No Tax, exclusive,,Can=1_1.72|Carton=24_42,,,,,,,,,,,,no_image.png,standard
8852023009032,k.k Green peas Salted 85g,សណ្តែកខៀវដោះគោ 85g,Greenpeas,1,0,0.81,0, No Tax, exclusive,,Pack=1_0.81|Carton=36_29,,,,,,,,,,,,no_image.png,standard
8852023008936,k.k Green peas Chilli 180g,សណ្តែកខៀវរសជាតិម្ទេស 180g,Greenpeas Chilli,2,0,1.72,0, No Tax, exclusive,,Can=1_1.72|Carton=24_42,,,,,,,,,,,,no_image.png,standard
8852023009056,k.k Green peas Chilli 85g,សណ្តែកខៀវរសជាតិម្ទេស 85g,Greenpeas Chilli,1,0,0.81,0, No Tax, exclusive,,Pack=1_0.81|Carton=36_29,,,,,,,,,,,,no_image.png,standard
8852023008950,k.k Green peas Squid 180g,សណ្តែកខៀវរសជាតិមឹក 180g,Greenpeas Squid,2,0,1.72,0, No Tax, exclusive,,Can=1_1.72|Carton=24_42,,,,,,,,,,,,no_image.png,standard
8852023009063,k.kGreenpeasSquid 85g,សណ្តែកខៀវរសជាតិមឹក 85g,Greenpeas Squid,1,0,0.81,0, No Tax, exclusive,,Pack=1_0.81|Carton=36_29,,,,,,,,,,,,no_image.png,standard
8852023664613,k.kCashewNutsHoney 130g,ចាន់ទីរស់ជាតិទឺក់ឃ្មុំ 130g,CashewNutsHoney,2,0,2.46,0, No Tax, exclusive,,Can=1_2.46|Carton=24_59,,,,,,,,,,,,no_image.png,standard
8852023664668,k.kCashewNuts 130g,ចាន់ទីរស់ជាតិប្រៃ 130g,CashewNuts,2,0,2.46,0, No Tax, exclusive,,Can=1_2.46|Carton=24_59,,,,,,,,,,,,no_image.png,standard
8852023664675,k.kCashewNuts 30g,ចាន់ទីរស់ជាតិប្រៃ 30g,CashewNuts,1,0,0.75,0, No Tax, exclusive,,Pack=1_0.75|Carton=48_36,,,,,,,,,,,,no_image.png,standard
8852023003856,k.kCashewNuts 160g,ចាន់ទីរស់ជាតិប្រៃ 160g,CashewNuts,1,0,3.05,0, No Tax, exclusive,,Pack=1_3.05|Carton=24_73,,,,,,,,,,,,no_image.png,standard
8852023003283,k.k Almonds 130g,គ្រាប់អាល់ម៉ុង 130g,Almonds,2,0,2.46,0, No Tax, exclusive,,Can=1_2.46|Carton=24_59,,,,,,,,,,,,no_image.png,standard
8852023664651,k.k Almonds 28g,គ្រាប់អាល់ម៉ុង 28g,Almonds,1,0,0.75,0, No Tax, exclusive,,Pack=1_0.75|Carton=48_36,,,,,,,,,,,,no_image.png,standard
8852023006628,k.k Almonds 160g,គ្រាប់អាល់ម៉ុង 160g,Almonds,1,0,3.05,0, No Tax, exclusive,,Pack=1_3.05|Carton=24_73,,,,,,,,,,,,no_image.png,standard
8852023003290,K.k Pistachios 130g,គ្រាប់រីករាយ 130g,Pistachios,2,0,2.92,0, No Tax, exclusive,,Can=1_2.92|Carton=24_70,,,,,,,,,,,,no_image.png,standard
8852023664170,K.k Pistachios 35g,គ្រាប់រីករាយ 35g,Pistachios,1,0,0.84,0, No Tax, exclusive,,Pack=1_0.84|Carton=48_37,,,,,,,,,,,,no_image.png,standard
8852023006871,k.k Thai Spicy Mixed 110g,រសជាតិហឺរបែបថៃ 110g,ThainSpicyMixed,2,0,2.13,0, No Tax, exclusive,,Can=1_2.13|Carton=24_51,,,,,,,,,,,,no_image.png,standard
8852023006574,k.k Thai Spicy Mixed 30g,រសជាតិហឺរបែបថៃ 30g,ThainSpicyMixed,1,0,0.75,0, No Tax, exclusive,,Pack=1_0.75|Carton=48_36,,,,,,,,,,,,no_image.png,standard
8852023006635,k.k Thai Spicy Mixed 145g,រសជាតិហឺរបែបថៃ 145g,ThainSpicyMixed,1,0,3.05,0, No Tax, exclusive,,Pack=1_3.05|Carton=24_73,,,,,,,,,,,,no_image.png,standard
