Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
8852023009421,NUT NATUR SEASALT 35g,គ្រាប់អាល់ម៉ុងពិសេស 35g,NUT NATURAlmonds,1,0,0.85,0, No Tax, exclusive,,Pack=1_0.85|Carton=48_41,,,,,,,,,,,,no_image.png,standard
8852023009438,NUT NATURRoasted 35g,គ្រាប់អាល់ម៉ុងលីងពិសេស 35g,NUT NATURAlmonds,1,0,0.85,0, No Tax, exclusive,,Pack=1_0.85|Carton=48_41,,,,,,,,,,,,no_image.png,standard
8852023009445,NUT NATURcarnberry 30g,គ្រាប់អាល់ម៉ុងជូអែមពិសេស 30g,NUT NATURAlmonds,1,0,0.85,0, No Tax, exclusive,,Pack=1_0.85|Carton=48_41,,,,,,,,,,,,no_image.png,standard
8852023009452,NUT NATUPistachio 32g,គ្រាប់រីករាយរស់ជាតិធម្មជាតិ 32g,NUT NATUPistachio,1,0,0.85,0, No Tax, exclusive,,Pack=1_0.85|Carton=48_41,,,,,,,,,,,,no_image.png,standard
8852023005980,KK Salted Peanuts 90g,សណ្តែកដីកពា្ចប់ រសជាតិប្រៃ 90g,Salted Peanuts ,1,0,0.64,0, No Tax, exclusive,,Pack=1_0.64|Carton=36_23,,,,,,,,,,,,no_image.png,standard
8852023666136,KK Salted Peanuts 42g,សណ្តែកដីកពា្ចប់ រសជាតិប្រៃ 42g,Salted Peanuts ,1,0,0.25,0, No Tax, exclusive,,Pack=1_0.25|Carton=36_18,,,,,,,,,,,,no_image.png,standard
8852023666273,KK Salted Peanuts 20g,សណ្តែកដីកពា្ចប់ រសជាតិប្រៃ 20g,Salted Peanuts ,1,0,0.125,0, No Tax, exclusive,,Pack=1_0.125|Carton=144_18,,,,,,,,,,,,no_image.png,standard
8852023004204,KK Salted Green PeasSALTED 35g,សណ្តែកហោឡាំងតៅ​រសជាតិទឹកដោះគោ 35g,Greenpeas,1,0,0.25,0, No Tax, exclusive,,Pack=1_0.25|Carton=72_18,,,,,,,,,,,,no_image.png,standard
8852023004198,KK Salted Green PeasSALTED 20g,សណ្តែកហោឡាំងតៅ​រសជាតិទឹកដោះគោ 20g,Greenpeas,1,0,0.125,0, No Tax, exclusive,,Pack=1_0.125|Carton=144_18,,,,,,,,,,,,no_image.png,standard
8852023009384,Salt greenpeas (Pack) 23gX144,សណ្តែកបាយរសជាតិធម្មតា,Greenpeas,1,0,0.125,0, No Tax, exclusive,,Pack=1_0.125|Carton=144_18,,,,,,,,,,,,no_image.png,standard
8852023666655,koh-kae wasabi 105gX48,សណ្តែកដីរសជាតិ​​ Wasabi 105g,Peanuts Wasabi,2,0,0.86,0, No Tax, exclusive,,Can=1_0.86|Carton=48_41,,,,,,,,,,,,no_image.png,standard
8852023666211,koh-kae wasabi 75gX36,សណ្តែកដីរសជាតិ Wasabi 75g,Peanuts Wasabi,1,0,0.64,0, No Tax, exclusive,,Pack=1_0.64|Carton=36_23,,,,,,,,,,,,no_image.png,standard
8852023006949,koh-kae Coated Wasabi 180g,សណ្តែកដីរសជាតិ Wasabi 180g,Peanuts Wasabi,1,0,1.21,0, No Tax, exclusive,,Pack=1_1.21|Carton=24_29,,,,,,,,,,,,no_image.png,standard
